provincia,partido,localidad,tecnologia,link_indec,accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,ADSL,6854100,529
BUENOS AIRES,25 de Mayo,25 de Mayo,CABLEMODEM,6854100,4600
BUENOS AIRES,25 de Mayo,25 de Mayo,FIBRA OPTICA,6854100,4
BUENOS AIRES,25 de Mayo,25 de Mayo,SATELITAL,6854100,895
BUENOS AIRES,25 de Mayo,25 de Mayo,WIRELESS,6854100,727
BUENOS AIRES,25 de Mayo,Agustín Mosconi,SATELITAL,6854010,13
BUENOS AIRES,25 de Mayo,Del Valle,ADSL,6854020,181
BUENOS AIRES,25 de Mayo,Del Valle,Otros,6854020,10
BUENOS AIRES,25 de Mayo,Del Valle,SATELITAL,6854020,18
BUENOS AIRES,25 de Mayo,Ernestina,ADSL,6854030,75
BUENOS AIRES,25 de Mayo,Ernestina,SATELITAL,6854030,7
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,FIBRA OPTICA,6854040,7
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,SATELITAL,6854040,8
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,WIRELESS,6854040,225
BUENOS AIRES,25 de Mayo,Lucas Monteverde,SATELITAL,6854050,13
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,CABLEMODEM,6854060,782
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,FIBRA OPTICA,6854060,950
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,Otros,6854060,20
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,SATELITAL,6854060,29
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,WIRELESS,6854060,128
BUENOS AIRES,25 de Mayo,Pedernales,ADSL,6854070,372
BUENOS AIRES,25 de Mayo,Pedernales,FIBRA OPTICA,6854070,240
BUENOS AIRES,25 de Mayo,Pedernales,SATELITAL,6854070,10
BUENOS AIRES,25 de Mayo,Pedernales,WIRELESS,6854070,7
BUENOS AIRES,25 de Mayo,San Enrique,SATELITAL,6854080,17
BUENOS AIRES,25 de Mayo,Valdés,SATELITAL,6854090,23
BUENOS AIRES,9 de Julio,12 de Octubre,SATELITAL,6588030,17
BUENOS AIRES,9 de Julio,12 de Octubre,WIRELESS,6588030,19
BUENOS AIRES,9 de Julio,9 de Julio,ADSL,6588100,3147
BUENOS AIRES,9 de Julio,9 de Julio,CABLEMODEM,6588100,3443
BUENOS AIRES,9 de Julio,9 de Julio,DIAL UP,6588100,79
BUENOS AIRES,9 de Julio,9 de Julio,FIBRA OPTICA,6588100,8778
BUENOS AIRES,9 de Julio,9 de Julio,SATELITAL,6588100,69
BUENOS AIRES,9 de Julio,9 de Julio,WIRELESS,6588100,831
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),ADSL,6588010,450
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),Otros,6588010,60
