provincia,partido,localidad,link_indec,velocidad,accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0 00,2
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0 50,2
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,1 00,7
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,2 00,1
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,3 00,107
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,5 00,1
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,6 00,51
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,10 00,303
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,12 00,336
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,14 00,2
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,15 00,264
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,20 00,153
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,25 00,84
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,30 00,2060
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,40 00,13
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,50 00,1297
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,80 00,6
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,100 00,1515
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,226 50,153
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,300 00,94
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,500 00,3
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,12 00,21
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,20 00,10
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,226 50,13
BUENOS AIRES,25 de Mayo,Del Valle,6854020,0 50,1
BUENOS AIRES,25 de Mayo,Del Valle,6854020,3 00,181
BUENOS AIRES,25 de Mayo,Del Valle,6854020,10 00,10
BUENOS AIRES,25 de Mayo,Del Valle,6854020,226 50,17
BUENOS AIRES,25 de Mayo,Ernestina,6854030,5 00,75
BUENOS AIRES,25 de Mayo,Ernestina,6854030,226 50,7
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,6 00,154
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,8 00,58
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,10 00,2
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,12 00,8
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,15 00,7
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,30 00,2
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,65 00,1
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,226 50,8
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,226 50,13
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,2 00,83
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,3 00,25
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,4 00,5
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,5 00,5
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,6 00,862
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,10 00,1
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,15 00,742
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,25 00,91
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,50 00,56
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,70 00,4
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,100 00,6
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,226 50,29
BUENOS AIRES,25 de Mayo,Pedernales,6854070,6 00,2
BUENOS AIRES,25 de Mayo,Pedernales,6854070,10 00,374
BUENOS AIRES,25 de Mayo,Pedernales,6854070,15 00,3
BUENOS AIRES,25 de Mayo,Pedernales,6854070,50 00,240
BUENOS AIRES,25 de Mayo,Pedernales,6854070,226 50,10
BUENOS AIRES,25 de Mayo,San Enrique,6854080,12 00,38
BUENOS AIRES,25 de Mayo,San Enrique,6854080,20 00,11
BUENOS AIRES,25 de Mayo,San Enrique,6854080,226 50,17
BUENOS AIRES,25 de Mayo,Valdés,6854090,12 00,64
BUENOS AIRES,25 de Mayo,Valdés,6854090,20 00,20
BUENOS AIRES,25 de Mayo,Valdés,6854090,226 50,23
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,3 00,11
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,226 50,17
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1 00,6
BUENOS AIRES,9 de Julio,9 de Julio,6588100,3 00,217
BUENOS AIRES,9 de Julio,9 de Julio,6588100,5 00,169
BUENOS AIRES,9 de Julio,9 de Julio,6588100,6 00,32
BUENOS AIRES,9 de Julio,9 de Julio,6588100,7 00,235
BUENOS AIRES,9 de Julio,9 de Julio,6588100,8 00,1
BUENOS AIRES,9 de Julio,9 de Julio,6588100,10 00,94
BUENOS AIRES,9 de Julio,9 de Julio,6588100,15 00,7440
BUENOS AIRES,9 de Julio,9 de Julio,6588100,20 00,3043
BUENOS AIRES,9 de Julio,9 de Julio,6588100,30 00,912
BUENOS AIRES,9 de Julio,9 de Julio,6588100,50 00,611
BUENOS AIRES,9 de Julio,9 de Julio,6588100,100 00,1931
BUENOS AIRES,9 de Julio,9 de Julio,6588100,200 00,1
BUENOS AIRES,9 de Julio,9 de Julio,6588100,226 50,68
BUENOS AIRES,9 de Julio,9 de Julio,6588100,300 00,1238
BUENOS AIRES,9 de Julio,9 de Julio,6588100,500 00,30
BUENOS AIRES,9 de Julio,9 de Julio,6588100,1000 00,15
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,3 00,510
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,226 50,15
BUENOS AIRES,9 de Julio,Carlos María Naón,6588020,20 00,62
BUENOS AIRES,9 de Julio,Carlos María Naón,6588020,226 50,10
BUENOS AIRES,9 de Julio,Dudignac,6588040,1 00,8
BUENOS AIRES,9 de Julio,Dudignac,6588040,3 00,36
BUENOS AIRES,9 de Julio,Dudignac,6588040,4 00,247
BUENOS AIRES,9 de Julio,Dudignac,6588040,6 00,46
BUENOS AIRES,9 de Julio,Dudignac,6588040,10 00,52
BUENOS AIRES,9 de Julio,Dudignac,6588040,226 50,12
BUENOS AIRES,9 de Julio,La Aurora  (Est. La Niña),6588050,226 50,13
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,2 00,193
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,226 50,17
BUENOS AIRES,9 de Julio,Marcelino Ugarte  (Est. Dennehy),6588070,226 50,5
BUENOS AIRES,9 de Julio,Morea,6588080,3 00,130
BUENOS AIRES,9 de Julio,Morea,6588080,226 50,4
BUENOS AIRES,9 de Julio,Norumbega,6588090,226 50,8
BUENOS AIRES,9 de Julio,Patricios,6588110,3 00,50
BUENOS AIRES,9 de Julio,Patricios,6588110,15 00,90
BUENOS AIRES,9 de Julio,Patricios,6588110,30 00,2
BUENOS AIRES,9 de Julio,Patricios,6588110,226 50,7
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,3 00,42
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,15 00,89
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,20 00,92
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,30 00,21
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,50 00,7
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,100 00,1
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,226 50,8
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,3 00,772
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,6 00,5
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,7 00,103
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,10 00,25
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,15 00,1201
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,30 00,1
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,31 00,266
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,50 00,820
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,61 00,31
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,100 00,2
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,226 50,25
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,3 00,208
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,226 50,9
BUENOS AIRES,Adolfo Alsina,Delfín Huergo,6007030,226 50,4
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,3 00,60
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,226 50,3
BUENOS AIRES,Adolfo Alsina,La Pala,6007060,226 50,3
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0 00,10
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0 50,2
BUENOS AIRES,Adolfo Alsina,Maza,6007070,5 00,386
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10 00,6
BUENOS AIRES,Adolfo Alsina,Maza,6007070,20 00,2
BUENOS AIRES,Adolfo Alsina,Maza,6007070,226 50,15
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0 00,1
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,20 00,1252
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,35 00,26
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,50 00,31
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,226 50,9
BUENOS AIRES,Adolfo Alsina,Thames,6007010,226 50,3
BUENOS AIRES,Adolfo Alsina,Villa Margarita,6007100,226 50,2
BUENOS AIRES,Adolfo Alsina,Yutuyaco,6007110,226 50,18
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,1 00,2
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,3 00,57
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,5 00,2
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,6 00,28
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,8 00,310
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,10 00,217
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,12 00,1
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,15 00,1329
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,30 00,44
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,50 00,1
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,226 50,34
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0 00,26
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,4 00,573
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,7 00,38
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,8 00,28
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,10 00,59
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,15 00,18
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,226 50,18
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,4 00,48
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,226 50,13
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,3 00,12
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,4 00,2
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,226 50,3
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,0 00,1
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,1 00,2
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,2 00,1
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,3 00,8
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,5 00,1
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,6 00,7
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,9 00,1
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,10 00,42
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,15 00,142
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,226 50,16
BUENOS AIRES,Alberti,Coronel Seguí,6021020,15 00,5
BUENOS AIRES,Alberti,Coronel Seguí,6021020,226 50,2
BUENOS AIRES,Alberti,Mechita,6021030,3 00,275
BUENOS AIRES,Alberti,Mechita,6021030,5 00,10
BUENOS AIRES,Alberti,Mechita,6021030,226 50,7
BUENOS AIRES,Alberti,Pla,6021040,226 50,4
BUENOS AIRES,Alberti,Villa Grisolía  (Est. Achupallas),6021050,226 50,9
BUENOS AIRES,Alberti,Villa María,6021060,226 50,1
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,15 00,24
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,226 50,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0 00,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0 26,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0 50,4
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0 51,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0 75,2
BUENOS AIRES,Almirante Brown,Adrogué,6028010,1 00,25
BUENOS AIRES,Almirante Brown,Adrogué,6028010,2 00,8
BUENOS AIRES,Almirante Brown,Adrogué,6028010,3 00,4
BUENOS AIRES,Almirante Brown,Adrogué,6028010,3 50,14
BUENOS AIRES,Almirante Brown,Adrogué,6028010,4 00,7
BUENOS AIRES,Almirante Brown,Adrogué,6028010,5 00,2
BUENOS AIRES,Almirante Brown,Adrogué,6028010,6 00,14
BUENOS AIRES,Almirante Brown,Adrogué,6028010,8 00,10
BUENOS AIRES,Almirante Brown,Adrogué,6028010,10 00,21
BUENOS AIRES,Almirante Brown,Adrogué,6028010,15 00,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,25 00,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,30 00,12
BUENOS AIRES,Almirante Brown,Adrogué,6028010,46 00,47
BUENOS AIRES,Almirante Brown,Adrogué,6028010,50 00,510
BUENOS AIRES,Almirante Brown,Adrogué,6028010,99 00,224
BUENOS AIRES,Almirante Brown,Adrogué,6028010,100 00,4696
BUENOS AIRES,Almirante Brown,Adrogué,6028010,101 00,232
BUENOS AIRES,Almirante Brown,Adrogué,6028010,200 00,59
BUENOS AIRES,Almirante Brown,Adrogué,6028010,226 50,16
BUENOS AIRES,Almirante Brown,Adrogué,6028010,300 00,11029
BUENOS AIRES,Almirante Brown,Adrogué,6028010,301 00,9
BUENOS AIRES,Almirante Brown,Adrogué,6028010,302 00,326
BUENOS AIRES,Almirante Brown,Adrogué,6028010,400 00,147
BUENOS AIRES,Almirante Brown,Adrogué,6028010,499 00,2457
BUENOS AIRES,Almirante Brown,Adrogué,6028010,500 00,608
BUENOS AIRES,Almirante Brown,Adrogué,6028010,600 00,1013
BUENOS AIRES,Almirante Brown,Adrogué,6028010,700 00,22
BUENOS AIRES,Almirante Brown,Adrogué,6028010,800 00,235
BUENOS AIRES,Almirante Brown,Adrogué,6028010,940 00,834
BUENOS AIRES,Almirante Brown,Adrogué,6028010,999 00,135
BUENOS AIRES,Almirante Brown,Adrogué,6028010,1000 00,411
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0 00,53
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0 26,1
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0 50,3
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0 51,1
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0 75,7
BUENOS AIRES,Almirante Brown,Burzaco,6028010,1 00,19
BUENOS AIRES,Almirante Brown,Burzaco,6028010,2 00,77
BUENOS AIRES,Almirante Brown,Burzaco,6028010,3 00,5
BUENOS AIRES,Almirante Brown,Burzaco,6028010,3 50,3
BUENOS AIRES,Almirante Brown,Burzaco,6028010,4 00,115
BUENOS AIRES,Almirante Brown,Burzaco,6028010,6 00,80
BUENOS AIRES,Almirante Brown,Burzaco,6028010,8 00,1
BUENOS AIRES,Almirante Brown,Burzaco,6028010,10 00,16
BUENOS AIRES,Almirante Brown,Burzaco,6028010,15 00,1
BUENOS AIRES,Almirante Brown,Burzaco,6028010,20 00,1
