anio,trimestre,provincia,velocidad,accesos
2017,4,Buenos Aires,0 256,114182
2017,4,Buenos Aires,0 512,3865
2017,4,Buenos Aires,1 000,35185
2017,4,Buenos Aires,1 200,19861
2017,4,Buenos Aires,2 200,29124
2017,4,Buenos Aires,3 200,26245
2017,4,Buenos Aires,4 000,142091
2017,4,Buenos Aires,4 500,3277
2017,4,Buenos Aires,6 000,4087
2017,4,Buenos Aires,6 400,1346370
2017,4,Buenos Aires,7 500,1764
2017,4,Buenos Aires,9 000,12080
2017,4,Buenos Aires,10 000,79
2017,4,Buenos Aires,10 100,250722
2017,4,Buenos Aires,12 000,4
2017,4,Buenos Aires,12 300,440198
2017,4,Buenos Aires,14 000,2
2017,4,Buenos Aires,15 000,1
2017,4,Buenos Aires,16 000,45163
2017,4,Buenos Aires,17 000,112
2017,4,Buenos Aires,19 000,51889
2017,4,Buenos Aires,20 500,175144
2017,4,Buenos Aires,22 000,1
2017,4,Buenos Aires,25 000,2
2017,4,Buenos Aires,25 100,153722
2017,4,Buenos Aires,31 000,183194
2017,4,Buenos Aires,41 000,13
2017,4,Buenos Aires,50 000,1
2017,4,Buenos Aires,50 100,124942
2017,4,Buenos Aires,61 000,1
2017,4,Buenos Aires,71 000,2
2017,4,Buenos Aires,97 000,1
2017,4,Buenos Aires,100 100,24786
2017,4,Buenos Aires,122 000,2
2017,4,Buenos Aires,155 000,220
2017,4,CABA,0 512,314
2017,4,CABA,1 000,701
2017,4,CABA,1 200,30710
2017,4,CABA,2 200,788
2017,4,CABA,3 200,1892
2017,4,CABA,4 000,4051
2017,4,CABA,4 500,1049
2017,4,CABA,6 000,5774
2017,4,CABA,6 400,503464
2017,4,CABA,7 500,19
2017,4,CABA,9 000,922
2017,4,CABA,10 000,5
2017,4,CABA,10 100,283094
2017,4,CABA,12 000,5
2017,4,CABA,12 300,290212
2017,4,CABA,16 000,1217
2017,4,CABA,17 000,3
2017,4,CABA,18 000,1
2017,4,CABA,19 000,40974
2017,4,CABA,20 500,125708
2017,4,CABA,25 000,1
2017,4,CABA,25 100,117018
2017,4,CABA,31 000,62693
2017,4,CABA,36 000,7
2017,4,CABA,41 000,22
2017,4,CABA,50 100,91194
2017,4,CABA,61 000,8
2017,4,CABA,66 000,1
2017,4,CABA,71 000,5
2017,4,CABA,81 000,2
2017,4,CABA,100 100,19785
2017,4,CABA,120 000,2
2017,4,CABA,122 000,6
2017,4,CABA,131 000,2
2017,4,CABA,155 000,2589
2017,4,Catamarca,0 256,2151
2017,4,Catamarca,0 512,34
2017,4,Catamarca,1 000,1
2017,4,Catamarca,1 200,3181
2017,4,Catamarca,3 200,43
2017,4,Catamarca,4 000,198
2017,4,Catamarca,6 400,15074
2017,4,Catamarca,10 100,5904
2017,4,Catamarca,16 000,2
2017,4,Catamarca,20 500,2925
2017,4,Catamarca,31 000,43
2017,4,Catamarca,155 000,2
2017,4,Chaco,0 256,1035
2017,4,Chaco,0 512,70
2017,4,Chaco,1 000,1
2017,4,Chaco,1 200,3431
2017,4,Chaco,2 200,22
2017,4,Chaco,3 200,34
2017,4,Chaco,4 000,1310
2017,4,Chaco,4 500,6536
2017,4,Chaco,6 000,8
2017,4,Chaco,6 400,29234
2017,4,Chaco,9 000,8917
2017,4,Chaco,10 100,15171
2017,4,Chaco,12 300,8521
2017,4,Chaco,16 000,26
2017,4,Chaco,19 000,723
2017,4,Chaco,20 500,10853
2017,4,Chaco,25 100,6646
2017,4,Chaco,31 000,688
2017,4,Chaco,36 000,522
2017,4,Chaco,46 000,107
2017,4,Chaco,50 100,2297
2017,4,Chaco,100 100,259
2017,4,Chaco,155 000,60
2017,4,Chubut,0 512,67
2017,4,Chubut,1 000,3086
2017,4,Chubut,1 200,1227
2017,4,Chubut,2 200,1104
2017,4,Chubut,3 200,7760
2017,4,Chubut,4 000,8261
2017,4,Chubut,4 500,534
2017,4,Chubut,6 000,54
2017,4,Chubut,6 400,65963
2017,4,Chubut,9 000,2543
2017,4,Chubut,10 100,2812
2017,4,Chubut,12 300,4
2017,4,Chubut,16 000,3
2017,4,Chubut,25 100,3
2017,4,Chubut,31 000,2
2017,4,Chubut,50 100,9
2017,4,Córdoba,0 256,8429
2017,4,Córdoba,0 512,291
2017,4,Córdoba,1 000,3524
2017,4,Córdoba,1 200,21887
2017,4,Córdoba,2 200,1340
2017,4,Córdoba,3 200,6748
2017,4,Córdoba,4 000,59998
2017,4,Córdoba,4 500,2663
2017,4,Córdoba,6 000,5115
2017,4,Córdoba,6 400,204973
2017,4,Córdoba,7 500,133
2017,4,Córdoba,9 000,10535
2017,4,Córdoba,10 100,92224
2017,4,Córdoba,12 000,2
2017,4,Córdoba,12 300,135753
2017,4,Córdoba,16 000,1093
2017,4,Córdoba,19 000,15370
2017,4,Córdoba,20 500,65384
2017,4,Córdoba,25 100,36394
2017,4,Córdoba,31 000,4651
2017,4,Córdoba,50 100,19186
2017,4,Córdoba,66 000,1
2017,4,Córdoba,71 000,1
2017,4,Córdoba,100 100,2577
2017,4,Córdoba,155 000,2339
2017,4,Corrientes,0 512,11
2017,4,Corrientes,1 200,5220
2017,4,Corrientes,2 200,1337
2017,4,Corrientes,3 200,43
2017,4,Corrientes,4 000,793
2017,4,Corrientes,4 500,6923
2017,4,Corrientes,6 000,1
2017,4,Corrientes,6 400,31983
2017,4,Corrientes,9 000,8585
2017,4,Corrientes,10 100,15101
2017,4,Corrientes,12 300,7353
2017,4,Corrientes,16 000,21
2017,4,Corrientes,19 000,717
2017,4,Corrientes,20 500,7955
2017,4,Corrientes,25 100,4860
2017,4,Corrientes,31 000,207
2017,4,Corrientes,36 000,488
2017,4,Corrientes,46 000,131
2017,4,Corrientes,50 100,1814
2017,4,Corrientes,100 100,216
2017,4,Corrientes,155 000,12
2017,4,Entre Ríos,0 512,1685
2017,4,Entre Ríos,1 000,7
2017,4,Entre Ríos,1 200,9071
2017,4,Entre Ríos,2 200,3420
2017,4,Entre Ríos,3 200,1903
2017,4,Entre Ríos,4 000,14662
2017,4,Entre Ríos,4 500,11377
2017,4,Entre Ríos,6 000,984
2017,4,Entre Ríos,6 400,63120
2017,4,Entre Ríos,9 000,12885
2017,4,Entre Ríos,10 000,1
2017,4,Entre Ríos,10 100,32303
2017,4,Entre Ríos,12 300,14708
2017,4,Entre Ríos,16 000,19
2017,4,Entre Ríos,19 000,1007
2017,4,Entre Ríos,20 500,14276
2017,4,Entre Ríos,25 100,7704
2017,4,Entre Ríos,31 000,273
2017,4,Entre Ríos,36 000,335
2017,4,Entre Ríos,46 000,58
2017,4,Entre Ríos,50 100,2721
2017,4,Entre Ríos,71 000,1
2017,4,Entre Ríos,100 100,319
2017,4,Entre Ríos,155 000,660
2017,4,Formosa,0 512,1110
2017,4,Formosa,1 000,191
2017,4,Formosa,1 200,3870
2017,4,Formosa,2 200,122
2017,4,Formosa,3 200,342
2017,4,Formosa,4 000,1202
2017,4,Formosa,6 000,52
2017,4,Formosa,6 400,11502
2017,4,Formosa,9 000,1
2017,4,Formosa,10 100,4866
2017,4,Formosa,12 300,1638
2017,4,Formosa,16 000,2
2017,4,Formosa,19 000,29
2017,4,Formosa,20 500,5327
2017,4,Formosa,25 100,397
2017,4,Formosa,31 000,584
2017,4,Formosa,50 100,776
2017,4,Formosa,100 100,31
2017,4,Formosa,155 000,13
2017,4,Jujuy,0 512,345
2017,4,Jujuy,1 000,2153
2017,4,Jujuy,1 200,3211
2017,4,Jujuy,3 200,13
2017,4,Jujuy,4 000,9511
2017,4,Jujuy,6 400,17042
2017,4,Jujuy,9 000,36
2017,4,Jujuy,10 100,7685
2017,4,Jujuy,16 000,15
2017,4,Jujuy,20 500,3492
2017,4,Jujuy,31 000,44
2017,4,Jujuy,155 000,3
2017,4,La Pampa,0 256,3503
2017,4,La Pampa,0 512,310
2017,4,La Pampa,1 000,7350
2017,4,La Pampa,1 200,1379
2017,4,La Pampa,2 200,1213
2017,4,La Pampa,3 200,3635
2017,4,La Pampa,4 000,43451
2017,4,La Pampa,4 500,1
2017,4,La Pampa,6 000,4979
2017,4,La Pampa,6 400,12774
2017,4,La Pampa,9 000,1129
2017,4,La Pampa,10 100,98
2017,4,La Pampa,12 300,430
2017,4,La Pampa,16 000,343
2017,4,La Pampa,19 000,10
2017,4,La Pampa,20 500,9
2017,4,La Pampa,25 100,390
2017,4,La Pampa,31 000,11
2017,4,La Pampa,50 100,68
2017,4,La Pampa,100 100,3
2017,4,La Rioja,0 512,9
2017,4,La Rioja,1 000,1
2017,4,La Rioja,1 200,1487
2017,4,La Rioja,3 200,2
2017,4,La Rioja,4 000,31591
2017,4,La Rioja,6 400,9184
2017,4,La Rioja,10 100,4083
2017,4,La Rioja,16 000,3650
2017,4,La Rioja,20 500,2163
2017,4,La Rioja,31 000,24
2017,4,La Rioja,50 100,1
2017,4,Mendoza,0 512,26
2017,4,Mendoza,1 000,14
2017,4,Mendoza,1 200,1642
2017,4,Mendoza,2 200,2228
2017,4,Mendoza,3 200,3326
2017,4,Mendoza,4 000,13169
2017,4,Mendoza,4 500,255
2017,4,Mendoza,6 400,158668
2017,4,Mendoza,9 000,13
2017,4,Mendoza,10 000,250
2017,4,Mendoza,10 100,175
2017,4,Mendoza,12 300,78
2017,4,Mendoza,16 000,63
2017,4,Mendoza,20 500,137
2017,4,Mendoza,25 100,20
2017,4,Mendoza,31 000,28
2017,4,Mendoza,50 100,56
2017,4,Mendoza,100 100,6
2017,4,Misiones,0 512,1053
2017,4,Misiones,1 200,3900
2017,4,Misiones,2 200,18
2017,4,Misiones,3 200,1909
2017,4,Misiones,4 000,7
2017,4,Misiones,4 500,4631
2017,4,Misiones,6 000,10
2017,4,Misiones,6 400,35148
2017,4,Misiones,9 000,7414
2017,4,Misiones,10 100,15717
2017,4,Misiones,12 300,12350
2017,4,Misiones,16 000,6
2017,4,Misiones,19 000,816
2017,4,Misiones,20 500,9090
2017,4,Misiones,25 100,8585
2017,4,Misiones,31 000,525
2017,4,Misiones,36 000,96
2017,4,Misiones,46 000,21
2017,4,Misiones,50 100,2348
2017,4,Misiones,100 100,233
2017,4,Misiones,155 000,18
2017,4,Neuquén,0 256,6105
2017,4,Neuquén,0 512,1396
2017,4,Neuquén,1 000,1075
2017,4,Neuquén,1 200,1297
2017,4,Neuquén,2 200,212
2017,4,Neuquén,3 200,316
2017,4,Neuquén,4 000,26902
2017,4,Neuquén,4 500,104
2017,4,Neuquén,6 000,122
2017,4,Neuquén,6 400,40380
2017,4,Neuquén,9 000,808
2017,4,Neuquén,10 100,517
2017,4,Neuquén,12 300,20777
2017,4,Neuquén,16 000,7
2017,4,Neuquén,19 000,1863
2017,4,Neuquén,20 500,134
2017,4,Neuquén,25 100,7327
2017,4,Neuquén,31 000,242
2017,4,Neuquén,50 100,5579
2017,4,Neuquén,100 100,680
2017,4,Río Negro,0 256,3719
2017,4,Río Negro,0 512,409
2017,4,Río Negro,1 000,198
2017,4,Río Negro,1 200,5400
2017,4,Río Negro,2 200,2161
2017,4,Río Negro,3 200,525
2017,4,Río Negro,4 000,3939
2017,4,Río Negro,4 500,267
2017,4,Río Negro,6 000,838
2017,4,Río Negro,6 400,73348
2017,4,Río Negro,9 000,73
2017,4,Río Negro,10 100,412
2017,4,Río Negro,12 300,11382
2017,4,Río Negro,16 000,21
2017,4,Río Negro,19 000,1020
2017,4,Río Negro,20 500,79
2017,4,Río Negro,25 100,3354
2017,4,Río Negro,31 000,128
2017,4,Río Negro,41 000,2
2017,4,Río Negro,50 100,2158
2017,4,Río Negro,100 100,245
2017,4,Salta,0 512,636
2017,4,Salta,1 000,132
2017,4,Salta,1 200,4143
2017,4,Salta,2 200,15
2017,4,Salta,3 200,158
2017,4,Salta,4 000,21608
2017,4,Salta,6 000,6
2017,4,Salta,6 400,51497
2017,4,Salta,9 000,7733
2017,4,Salta,10 100,25109
2017,4,Salta,12 300,5668
2017,4,Salta,16 000,189
2017,4,Salta,20 500,13111
2017,4,Salta,25 100,3229
2017,4,Salta,31 000,359
2017,4,Salta,50 100,45
2017,4,Salta,155 000,10
2017,4,San Juan,0 512,22
2017,4,San Juan,1 000,1031
2017,4,San Juan,1 200,31
2017,4,San Juan,3 200,27
2017,4,San Juan,4 000,1677
2017,4,San Juan,6 000,1
2017,4,San Juan,6 400,55820
2017,4,San Juan,9 000,1
2017,4,San Juan,10 100,8
2017,4,San Juan,31 000,4
2017,4,San Luis,0 256,1902
2017,4,San Luis,0 512,59
2017,4,San Luis,1 000,1
2017,4,San Luis,1 200,100
2017,4,San Luis,3 200,5
2017,4,San Luis,4 000,1136
2017,4,San Luis,6 000,1
2017,4,San Luis,6 400,11680
2017,4,San Luis,9 000,7
2017,4,San Luis,10 100,1
2017,4,San Luis,25 100,1
2017,4,San Luis,31 000,7
2017,4,Santa Cruz,0 512,68
2017,4,Santa Cruz,1 200,78
2017,4,Santa Cruz,2 200,143
2017,4,Santa Cruz,3 200,2972
2017,4,Santa Cruz,4 000,6294
2017,4,Santa Cruz,6 000,1610
2017,4,Santa Cruz,6 400,18054
2017,4,Santa Cruz,9 000,2
2017,4,Santa Cruz,10 100,653
2017,4,Santa Cruz,16 000,66
2017,4,Santa Cruz,20 500,34
2017,4,Santa Cruz,31 000,1
2017,4,Santa Cruz,41 000,3
2017,4,Santa Fe,0 256,14119
2017,4,Santa Fe,0 512,3109
2017,4,Santa Fe,1 000,7637
2017,4,Santa Fe,1 200,26495
2017,4,Santa Fe,2 200,3994
2017,4,Santa Fe,3 200,10009
2017,4,Santa Fe,4 000,93221
2017,4,Santa Fe,4 500,8068
2017,4,Santa Fe,6 000,3785
2017,4,Santa Fe,6 400,190921
2017,4,Santa Fe,7 500,45
2017,4,Santa Fe,9 000,28663
2017,4,Santa Fe,10 100,80231
2017,4,Santa Fe,12 300,81931
2017,4,Santa Fe,14 000,1
2017,4,Santa Fe,16 000,5213
2017,4,Santa Fe,19 000,8289
2017,4,Santa Fe,20 500,55895
2017,4,Santa Fe,22 000,24
2017,4,Santa Fe,25 100,27074
2017,4,Santa Fe,31 000,3877
2017,4,Santa Fe,36 000,387
2017,4,Santa Fe,41 000,2
2017,4,Santa Fe,46 000,77
2017,4,Santa Fe,50 100,14755
2017,4,Santa Fe,61 000,1
2017,4,Santa Fe,97 000,1
2017,4,Santa Fe,100 100,2538
